streetAddress,suburb,postcode,bedrooms,bathrooms,propertyType,price,dateSold
4 Victory Avenue,Alfredton,3350,3,2,house,"$380,000 ",11/5/2018
6 Arbor Place,White Hills,3550,3,2,house,"$380,000 ",11/5/2018
40 Edgevale Way,Tarneit,3029,2,1,house,"$380,000 ",11/5/2018
2/11 Corang Avenue,Grovedale,3216,2,1,unit,"$379,000 ",11/5/2018
103/1 High Street,Preston,3072,1,1,apartment,"$350,000 ",11/5/2018
4 Alouette Court,Whittington,3219,3,1,house,"$350,000 ",11/5/2018
6/16 Wallace Street,Brunswick West,3055,1,1,apartment,"$330,000 ",11/5/2018
9 Nader Close,Redan,3350,2,1,townhouse,"$305,000 ",11/5/2018
5/55-57 Barries Road,Melton,3337,3,1,unit,"$290,000 ",11/5/2018
2/18 Breakwater Road,Thomson,3219,2,1,unit,"$275,000 ",11/5/2018
34 Hill Street,Daylesford,3460,4,2,house,"$790,000 ",11/4/2018
54 SHEARWATER Drive,Pakenham,3810,3,2,house,"$460,000 ",11/4/2018
11 Decker Street,Blackwood,3458,2,1,house,"$376,000 ",11/4/2018
2 Maggie Street,Yarraville,3013,3,2,house,"$1,530,000 ",11/3/2018
1/15 Sussex Street,Brighton,3186,3,1,unit,Contact agent,11/3/2018
11 Palm Court,Frankston,3199,3,2,house,"$1,400,000 ",11/3/2018
9/113-115 Banksia Street,Eaglemont,3084,3,3,townhouse,"$1,265,000 ",11/3/2018
5 Tyrone Court,Wheelers Hill,3150,4,3,house,"$1,235,000 ",11/3/2018
15 Orchid Court,Gowanbrae,3043,4,2,house,"$1,067,500 ",11/3/2018
43 Burn Nar Look Drive,Burwood,3125,4,3,house,"$900,000 ",11/3/2018
28 Corio Street,Belmont,3216,4,2,house,"$780,000 ",11/3/2018
36 Sunnyvale Crescent,Keysborough,3173,3,1,house,"$678,000 ",11/3/2018
6 Allessi Avenue,Wollert,3750,4,2,house,"$632,500 ",11/3/2018
6 Shoubra Court,Highton,3216,4,2,house,"$630,000 ",11/3/2018
2 Marcella Ave,Dandenong North,3175,3,1,house,"$605,000 ",11/3/2018
38/352 Canterbury Road,St Kilda,3182,2,1,apartment,"$603,500 ",11/3/2018
22 Frognal Drive,Noble Park North,3174,3,2,house,"$600,000 ",11/3/2018
3 Gunther Way,Wollert,3750,4,2,house,"$575,000 ",11/3/2018
1 Mackey Street,Lalor,3075,2,1,house,"$550,000 ",11/3/2018
7 Weeroona Avenue,Hamlyn Heights,3215,3,1,house,"$540,000 ",11/3/2018
20 Sixth Avenue,Rosebud,3939,3,1,house,"$530,000 ",11/3/2018
1/35 Finchley Avenue,Glenroy,3046,3,1,unit,"$500,600 ",11/3/2018
210/87-89 Raleigh Street,Essendon,3040,2,1,apartment,"$487,000 ",11/3/2018
12/17-21 Cobaw Circuit,Caroline Springs,3023,3,2,townhouse,"$460,000 ",11/3/2018
1/39 Junction Street,Newington,3350,2,1,house,"$445,000 ",11/3/2018
22 Macarthur Way,Mickleham,3064,3,2,house,"$430,000 ",11/3/2018
8 Govett  Street,Broadford,3658,3,2,house,"$400,000 ",11/3/2018
2 Ware Street,Lara,3212,4,1,house,"$386,000 ",11/3/2018
22 & 22A Herriot Street,Heathcote,3523,3,2,house,"$330,000 ",11/3/2018
38 Yallourn Street,Ardeer,3022,3,1,house,"$1,453,000 ",11/2/2018
236 Latrobe Terrace,Geelong West,3218,4,2,house,"$1,200,000 ",11/2/2018
56 Patons Road,Macclesfield,3782,4,2,house,"$1,100,000 ",11/2/2018
13 Empire Drive,Mooroolbark,3138,4,2,house,"$1,055,000 ",11/2/2018
82 Pilgrim Street,Seddon,3011,3,1,house,"$1,000,000 ",11/2/2018
9 Cowies Road,Drysdale,3222,5,2,house,"$900,000 ",11/2/2018
47 Bendigo Street,Richmond,3121,2,2,townhouse,"$873,000 ",11/2/2018
10 Devira Court,Rowville,3178,4,2,house,"$865,000 ",11/2/2018
23-25 Olney Street,Winchelsea,3241,4,2,acreage/semi-rural,"$850,000 ",11/2/2018
35 Tutegong Road,Winchelsea,3241,4,2,acreage/semi-rural,"$810,000 ",11/2/2018
4/70 Essex Road,Surrey Hills,3127,2,1,villa,"$805,000 ",11/2/2018
1/26 Kororoit Creek Road,Williamstown,3016,3,2,house,"$800,000 ",11/2/2018
18 Beaurepaire Drive,Point Cook,3030,4,2,house,"$765,000 ",11/2/2018
17 Banjo Paterson Drive,Pakenham,3810,5,2,house,"$750,000 ",11/2/2018
14 Carrington Place,Berwick,3806,4,2,house,"$750,000 ",11/2/2018
7 Iris Court,Mooroolbark,3138,4,2,house,"$720,000 ",11/2/2018
3 The Nook,Ferntree Gully,3156,3,2,house,"$710,000 ",11/2/2018
26 Erskine Ridge,Mooroolbark,3138,3,2,house,"$697,000 ",11/2/2018
70 Blackmore Road,Woodend,3442,3,2,house,"$693,000 ",11/2/2018
16A Starcross Avenue,Croydon,3136,3,2,house,"$680,000 ",11/2/2018
140 Mollison Street,Malmsbury,3446,3,1,house,"$671,000 ",11/2/2018
55 Symonds Street,Yarra Glen,3775,3,2,house,"$670,000 ",11/2/2018
17 Hawkesbury Street,Berwick,3806,4,2,house,"$670,000 ",11/2/2018
23 Grierson Drive,Kilsyth,3137,3,2,house,"$650,000 ",11/2/2018
9 Meadow Court,Strathfieldsaye,3551,4,2,house,"$630,000 ",11/2/2018
1 Colonial Court,Roxburgh Park,3064,4,2,house,"$625,000 ",11/2/2018
89 Harmony Drive,Tarneit,3029,4,2,house,"$617,000 ",11/2/2018
97 Fountain Drive,Narre Warren,3805,3,1,house,"$605,000 ",11/2/2018
15 Matthew Flinders Avenue,Endeavour Hills,3802,3,1,house,"$600,000 ",11/2/2018
11 Dustin Court,Sydenham,3037,3,2,house,"$600,000 ",11/2/2018
323 Wild Cherry Road,Lockwood South,3551,4,2,acreage/semi-rural,"$585,000 ",11/2/2018
47 Reigate Road,Highton,3216,3,1,house,"$560,000 ",11/2/2018
12 Blackwood Place,Rosebud,3939,3,2,unit,"$540,000 ",11/2/2018
16 Saltbreeze Boulevard,Armstrong Creek,3217,4,2,house,"$540,000 ",11/2/2018
17 Yellow Avenue,Lara,3212,4,2,house,"$530,000 ",11/2/2018
5 Beachside Crescent,Point Cook,3030,4,2,house,"$528,500 ",11/2/2018
70 Kirby Street,Reservoir,3073,3,1,house,"$525,000 ",11/2/2018
27 Bladen Street,Warragul,3820,4,2,house,"$524,000 ",11/2/2018
2/56 Hewish Road,Croydon,3136,2,1,unit,"$522,000 ",11/2/2018
18 Fleuve Rise,Clyde North,3978,3,2,house,"$522,000 ",11/2/2018
1/11 Coogee Avenue,Frankston,3199,3,1,house,"$520,000 ",11/2/2018
28 Dennison Avenue,Hoppers Crossing,3029,3,2,house,"$515,000 ",11/2/2018
4 The Esperence,Lara,3212,3,2,house,"$510,000 ",11/2/2018
15 Sandor Terrace,Charlemont,3217,4,2,house,"$496,500 ",11/2/2018
2 Pearson Place,Melton South,3338,4,2,house,"$495,000 ",11/2/2018
7 Swift Court,Carrum Downs,3201,3,1,house,"$482,000 ",11/2/2018
2/69 Curlew Drive,Capel Sound,3940,3,1,unit,"$470,000 ",11/2/2018
10 Winchester Court,Corio,3214,3,2,house,"$430,000 ",11/2/2018
15 Fadden Mews,Officer,3809,3,2,house,"$420,000 ",11/2/2018
5 Hamersley Road,Craigieburn,3064,0,0,residential land,"$395,000 ",11/2/2018
5 A Robin Avenue,Norlane,3214,3,2,unit,"$385,000 ",11/2/2018
15 Beauview Court,Kurunjang,3337,3,2,house,"$380,000 ",11/2/2018
1/18-20 Ben Drive,Pakenham,3810,2,1,unit,"$378,000 ",11/2/2018
2/71 Somerville Road,Hampton Park,3976,2,1,unit,"$362,000 ",11/2/2018
6 Orbit Drive,Whittington,3219,3,1,house,"$350,000 ",11/2/2018
14 Halliwell Court,Corio,3214,3,1,house,"$327,000 ",11/2/2018
67 Settlement Road,Belmont,3216,3,1,house,"$323,500 ",11/2/2018
5/403 Humffray Street North,Brown Hill,3350,3,1,house,"$322,000 ",11/2/2018
510 Eyre Street,Ballarat Central,3350,2,1,house,"$320,000 ",11/2/2018
G123/80G Epping Road,Epping,3076,2,1,apartment,"$320,000 ",11/2/2018
20A Hackett Court,Delahey,3037,0,0,residential land,"$305,000 ",11/2/2018
22 Garden Crescent,Echuca,3564,4,2,house,"$290,000 ",11/2/2018
40 Hawdon  Street,Broadford,3658,3,1,house,"$290,000 ",11/2/2018
1/238 Humffray Street North,Brown Hill,3350,3,1,house,"$270,000 ",11/2/2018
134 Barkly Street,Portland,3305,3,1,house,"$260,000 ",11/2/2018
5/269 Eaglehawk Road,Long Gully,3550,2,1,unit,"$215,000 ",11/2/2018
11 Wynnstay Road,Prahran,3181,5,3,house,Contact agent,11/1/2018
69 Iona St,Black Rock,3193,3,2,house,"$1,780,000 ",11/1/2018
53 Maude Street,Mount Martha,3934,4,3,house,Contact agent,11/1/2018
1 Mavista Avenue,Glen Waverley,3150,3,1,house,"$1,268,000 ",11/1/2018
401/2 Newquay Promenade,Docklands,3008,3,2,apartment,"$1,225,000 ",11/1/2018
32 Windsor Avenue,Strathmore,3041,2,1,house,"$1,125,000 ",11/1/2018
56 Chivalry Avenue,Glen Waverley,3150,4,2,house,"$1,101,000 ",11/1/2018
175 Hazelwood Road,East Warburton,3799,4,2,acreage/semi-rural,"$1,100,000 ",11/1/2018
75 Shaws Road,Little River,3211,4,2,house,"$1,100,000 ",11/1/2018
115 Capital Avenue,Glen Waverley,3150,4,2,house,"$1,065,000 ",11/1/2018
68 Market St,Newport,3015,3,2,house,"$923,000 ",11/1/2018
877 High Street Road,Glen Waverley,3150,3,1,house,"$876,000 ",11/1/2018
11 Mason Street,Mount Eliza,3930,3,2,house,"$865,000 ",11/1/2018
4 O'Neill Way,Warranwood,3134,4,2,house,"$825,000 ",11/1/2018
44 Hidden Grove Boulevard,Keysborough,3173,4,2,house,"$802,000 ",11/1/2018
15 Ballymore Court,Frankston,3199,4,2,house,"$780,000 ",11/1/2018
42 Kamanari Court,Drouin,3818,4,2,house,"$775,000 ",11/1/2018
3 Doidge Street,Bundoora,3083,3,2,townhouse,"$745,000 ",11/1/2018
34 John Edgcumbe,Endeavour Hills,3802,4,2,house,"$725,000 ",11/1/2018
93 Wattletree Road,Bunyip,3815,3,2,lifestyle,"$718,000 ",11/1/2018
17 Springwater Drive,Lara,3212,4,2,house,"$650,000 ",11/1/2018
49 Batman Street,Burnside Heights,3023,4,2,house,"$627,500 ",11/1/2018
23 Parkwood Avenue,Narre Warren South,3805,4,2,house,"$621,500 ",11/1/2018
13 PARKERS ROAD,Portland,3305,4,2,house,"$615,000 ",11/1/2018
86 View Street,Glenroy,3046,2,1,house,"$612,000 ",11/1/2018
3/22 Pine Crescent,Boronia,3155,2,2,unit,"$601,000 ",11/1/2018
8 Dawkins Avenue,Fraser Rise,3336,4,2,house,"$600,000 ",11/1/2018
51 Elizabeth Street,Cranbourne North,3977,4,3,house,"$580,000 ",11/1/2018
22 Moorhen Crescent,Carrum Downs,3201,3,2,house,"$570,000 ",11/1/2018
18 Morinda Way,Doreen,3754,4,2,house,"$561,000 ",11/1/2018
3 Oakes Place,Carrum Downs,3201,4,2,house,"$560,000 ",11/1/2018
17 Melita Avenue,Werribee,3030,3,1,house,"$558,000 ",11/1/2018
41 Spring Street,Geelong West,3218,2,1,townhouse,"$555,000 ",11/1/2018
5 Shorthorn Walk,Narre Warren South,3805,3,1,house,"$545,000 ",11/1/2018
7 Evans Street,Rye,3941,3,1,house,"$530,000 ",11/1/2018
3-4 Emilija Court,Marshall,3216,3,3,house,"$520,000 ",11/1/2018
4 Veedale Court,Lara,3212,3,2,house,"$520,000 ",11/1/2018
12 Berrigan Court,Werribee,3030,3,2,house,"$501,500 ",11/1/2018
8 Tobruk Street,Warragul,3820,3,1,house,"$485,000 ",11/1/2018
2/30 Ford Avenue,Sunshine North,3020,3,1,house,"$485,000 ",11/1/2018
117 Fifth Avenue,Rosebud,3939,3,1,house,"$470,000 ",11/1/2018
12 Elaine Avenue,Alfredton,3350,4,2,house,"$446,200 ",11/1/2018
6 Waters Way,St Leonards,3223,3,2,house,"$445,000 ",11/1/2018
10 Kosta Boda Boulevard,Pakenham,3810,3,2,house,"$415,000 ",11/1/2018
17 Lawrie Drive,Alfredton,3350,3,1,house,"$405,000 ",11/1/2018
404/8 Garfield Street,Richmond,3121,1,1,apartment,"$388,000 ",11/1/2018
1118 Norman Street,Wendouree,3355,3,1,house,"$385,000 ",11/1/2018
3/3 Dhemre Place,Dallas,3047,2,2,townhouse,"$385,000 ",11/1/2018
3/501 Bradshaw Street,Golden Point,3350,3,2,house,"$380,000 ",11/1/2018
13 Hendy Street,Corio,3214,4,2,house,"$365,000 ",11/1/2018
1/12 Renlik Court,Pakenham,3810,3,1,unit,"$360,000 ",11/1/2018
2/70 Janefield Drive,Bundoora,3083,1,1,apartment,"$351,000 ",11/1/2018
10-12 Morley Crescent,Highton,3216,0,0,residential land,"$345,000 ",11/1/2018
1/162 Canadian Bay Road,Mount Eliza,3930,2,1,apartment,"$340,000 ",11/1/2018
6 Peacock Avenue,Wodonga,3690,3,1,house,"$335,000 ",11/1/2018
3B Kinrap Street,Kangaroo Flat,3555,3,1,house,"$322,000 ",11/1/2018
26 Walls Street,Eaglehawk,3556,3,1,house,"$315,000 ",11/1/2018
111 Yarrowee Street,Sebastopol,3356,3,1,house,"$260,000 ",11/1/2018
16 North Street,Echuca,3564,3,1,house,"$220,000 ",11/1/2018
5601/570 Lygon Street,Carlton,3053,1,1,apartment,"$179,000 ",11/1/2018
25 Illawong Drive,Donvale,3111,4,4,house,"$2,998,000 ",10/31/2018
20 Castaway Court,Patterson Lakes,3197,5,2,house,"$1,850,000 ",10/31/2018
22 Derby Street,Collingwood,3066,2,2,house,Contact agent,10/31/2018
194A Bluff Road,Sandringham,3191,4,2,house,"$1,350,000 ",10/31/2018
51 Webb Street,Warrandyte,3113,4,3,house,"$1,235,000 ",10/31/2018
219 Marine Drive,Mount Martha,3934,1,1,house,"$1,130,000 ",10/31/2018
44 Pridham Street,Maribyrnong,3032,3,1,house,"$1,115,000 ",10/31/2018
13 Marlborough Street,St Kilda East,3183,2,1,house,"$1,055,000 ",10/31/2018
3 Olivemay Court,Bonshaw,3352,4,3,house,"$1,010,000 ",10/31/2018
2/119 Hitchcock Avenue,Barwon Heads,3227,3,2,townhouse,"$1,000,000 ",10/31/2018
2/123 Roberts Street,Essendon,3040,3,2,unit,"$990,000 ",10/31/2018
5 Wyatt Street,Seaford,3198,3,1,house,"$939,500 ",10/31/2018
5 Broadleaf Court,Keysborough,3173,3,2,house,"$930,000 ",10/31/2018
100 John Street,Williamstown,3016,2,1,house,"$880,000 ",10/31/2018
37 Middleton Street,Watsonia North,3087,3,1,house,"$860,000 ",10/31/2018
1 Ironbark Road,Diamond Creek,3089,4,2,house,"$853,000 ",10/31/2018
5 Woodcutters Place,Narre Warren South,3805,4,2,house,"$852,500 ",10/31/2018
6 Campbell Street,Heathmont,3135,3,2,house,"$851,500 ",10/31/2018
241 Cookes Road,Doreen,3754,4,2,house,"$850,000 ",10/31/2018
96 Gertrude Street,Geelong West,3218,3,2,house,"$830,000 ",10/31/2018
25 Rodina Terrace,Dandenong,3175,5,2,house,"$823,000 ",10/31/2018
55 Windsor Street,Seddon,3011,2,1,house,"$815,000 ",10/31/2018
26 Monument Boulevard,Cardigan,3352,4,2,house,"$795,000 ",10/31/2018
5 Cloverdale Lane,Chirnside Park,3116,4,2,house,"$775,000 ",10/31/2018
31 Buckingham Street,Footscray,3011,2,1,house,"$775,000 ",10/31/2018
22 Conservation Drive,Tarneit,3029,4,2,house,"$770,000 ",10/31/2018
18 Princess Street,Bayswater,3153,3,1,house,"$768,000 ",10/31/2018
2 Bogie Court,Anglesea,3230,3,1,house,"$765,000 ",10/31/2018
3408/241 City Road,Southbank,3006,3,2,apartment,"$756,000 ",10/31/2018
73 Diosma Avenue,Sunshine West,3020,3,2,house,"$740,000 ",10/31/2018
4 Evans Street,Scoresby,3179,3,2,house,"$735,000 ",10/31/2018
4/8 Warwick Road,Greensborough,3088,3,2,unit,"$729,500 ",10/31/2018
11 Clissold Street,Lorne,3232,3,1,house,"$720,000 ",10/31/2018
2/15 Bamba Court,Scoresby,3179,3,2,house,"$715,000 ",10/31/2018
6 Davison Place,Geelong,3220,2,1,townhouse,"$710,000 ",10/31/2018
8 Ashcombe Lane,Ocean Grove,3226,4,2,house,"$710,000 ",10/31/2018
4 Ester Close,Endeavour Hills,3802,5,3,house,"$710,000 ",10/31/2018
8 Newton Street,Ferntree Gully,3156,3,2,house,"$688,500 ",10/31/2018
59 Gwinganna Drive,Clifton Springs,3222,4,2,house,"$680,000 ",10/31/2018
59 Grantham Drive,Highton,3216,4,2,house,"$670,000 ",10/31/2018
9/47 Kathryn Road,Knoxfield,3180,3,2,unit,"$665,000 ",10/31/2018
7A Allen Street,Ringwood,3134,2,1,unit,"$660,200 ",10/31/2018
14 Mabel Street,Doreen,3754,3,2,house,"$650,000 ",10/31/2018
50 Dunfermline Avenue,Greenvale,3059,4,2,house,"$647,500 ",10/31/2018
707/331-333  Ascot Vale,Moonee Ponds,3039,2,2,apartment,"$645,000 ",10/31/2018
14 Banjolina Circuit,Craigieburn,3064,4,2,house,"$640,000 ",10/31/2018
10 Primavera Drive,Mickleham,3064,4,2,house,"$617,000 ",10/31/2018
15 Darraweit Valley Road,Darraweit Guim,3756,5,2,house,"$610,000 ",10/31/2018
45 Catherine Street,Geelong West,3218,3,1,house,"$602,500 ",10/31/2018
9 Woolondoon Drive,Highton,3216,4,2,house,"$601,000 ",10/31/2018
5 Eastmead Road,Croydon,3136,2,1,townhouse,"$600,000 ",10/31/2018
78 Gavan Street,Kilmore East,3764,4,2,house,"$597,000 ",10/31/2018
68 Justin Circuit,Hampton Park,3976,4,2,house,"$590,000 ",10/31/2018
22 Macadamia Street,Doreen,3754,3,2,house,"$580,000 ",10/31/2018
14 Young Street,Bacchus Marsh,3340,3,1,house,"$580,000 ",10/31/2018
4 Jemma Avenue,Point Cook,3030,4,2,house,"$566,500 ",10/31/2018
502/1 Encounter Way,Docklands,3008,2,1,apartment,"$562,000 ",10/31/2018
3 Ballamore Vista,Harkness,3337,4,2,house,"$560,000 ",10/31/2018
33 Wendy Way,Tarneit,3029,4,2,house,"$550,000 ",10/31/2018
46 Queensbury Way,Werribee,3030,4,2,house,"$550,000 ",10/31/2018
11 Trimble Drive,Langwarrin,3910,3,1,house,"$533,000 ",10/31/2018
48 Ben Drive,Pakenham,3810,3,2,house,"$530,000 ",10/31/2018
76 Dusseldorp Avenue,Pakenham,3810,4,2,house,"$525,000 ",10/31/2018
2 Cardiff Street,Bell Post Hill,3215,4,2,house,"$525,000 ",10/31/2018
7 Norman Grove,Werribee South,3030,4,2,house,"$512,500 ",10/31/2018
5 Callistemon Crescent,Drouin,3818,3,2,house,"$510,000 ",10/31/2018
3/5-7 Bonnie View Road,Croydon North,3136,2,1,unit,"$500,500 ",10/31/2018
15 Glitter Road,Diggers Rest,3427,3,2,house,"$500,000 ",10/31/2018
51 Marshalltown Road,Marshall,3216,3,1,house,"$500,000 ",10/31/2018
3205/58 Clarke Street,Southbank,3006,2,1,apartment,"$495,000 ",10/31/2018
15 The Gums,Mount Clear,3350,4,2,house,"$485,000 ",10/31/2018
909/108 Flinders Street,Melbourne,3000,1,1,apartment,"$484,000 ",10/31/2018
112 Butler Court,Heathcote,3523,3,1,house,"$480,000 ",10/31/2018
18 Cavell Drive,Craigieburn,3064,3,2,house,"$475,000 ",10/31/2018
32 Jupiter Crescent,Cranbourne West,3977,3,2,house,"$470,000 ",10/31/2018
81 Dallas Drive,Dallas,3047,2,1,house,"$450,000 ",10/31/2018
25 Chestnut Street,Campbellfield,3061,3,1,house,"$450,000 ",10/31/2018
15 Strachan Place,Melton South,3338,3,2,house,"$447,000 ",10/31/2018
34 Watergum Way,Wallan,3756,4,2,house,"$440,000 ",10/31/2018
2/2 La Scala Avenue,Maribyrnong,3032,2,1,apartment,"$440,000 ",10/31/2018
2 Elm Road,Golden Point,3350,2,2,house,"$440,000 ",10/31/2018
503/97-103 Flemington Road,North Melbourne,3051,1,1,apartment,"$431,000 ",10/31/2018
3/18 Grayling Street,Belmont,3216,3,1,townhouse,"$430,000 ",10/31/2018
B204/8 Grosvenor St,Abbotsford,3067,2,1,unit,"$430,000 ",10/31/2018
4 Milla Belle Place,Brookfield,3338,4,1,house,"$418,000 ",10/31/2018
1200 Mount Terrick Road,Echuca,3564,4,1,acreage/semi-rural,"$399,000 ",10/31/2018
2/49 Murphy Street,Romsey,3434,3,2,townhouse,"$395,000 ",10/31/2018
3/12-30 Pickersgill Avenue,Sunshine West,3020,2,1,unit,"$376,000 ",10/31/2018
"Lot 79, 38 Songlark Crescent",Carrum Downs,3201,0,0,residential land,"$375,000 ",10/31/2018
10 Grafton Street,St Albans Park,3219,3,2,house,"$375,000 ",10/31/2018
3 Carew Court,Mount Pleasant,3350,5,2,house,"$370,000 ",10/31/2018
14/13 Wood Street,Drouin,3818,2,1,unit,"$355,000 ",10/31/2018
11 Isabel Court,Portland,3305,4,2,house,"$352,500 ",10/31/2018
7/10 Gordon Street,Spring Gully,3550,3,1,house,"$350,000 ",10/31/2018
109/2 Archibald Street,Box Hill,3128,1,1,apartment,"$330,000 ",10/31/2018
38A Pettitt Crescent,Norlane,3214,2,2,house,"$330,000 ",10/31/2018
B206/8 Grosvenor Street,Abbotsford,3067,1,1,apartment,"$330,000 ",10/31/2018
2A Alder Crescent,Bell Park,3215,2,1,townhouse,"$320,000 ",10/31/2018
12/9 Kemp Street,Thornbury,3071,1,1,apartment,"$300,000 ",10/31/2018
1/7 Jepson Street,Yarraville,3013,1,1,apartment,"$288,500 ",10/31/2018
53 Pearce Street,Wodonga,3690,3,1,house,"$278,000 ",10/31/2018
15 Grant Street,Portland,3305,3,1,house,"$235,000 ",10/31/2018
109 Must Street,Portland,3305,3,1,house,"$220,000 ",10/31/2018
45 Brickwood Street,Brighton,3186,4,3,house,Contact agent,10/30/2018
32 Maling Road,Canterbury,3126,4,2,house,"$2,810,000 ",10/30/2018
57 Avendon Boulevard,Glen Waverley,3150,4,2,house,"$2,200,000 ",10/30/2018
3 Highbury Street,Balwyn North,3104,0,0,residential land,"$1,900,000 ",10/30/2018
133 Argyle Street,St Kilda,3182,3,2,house,"$1,785,000 ",10/30/2018
71 Eastgate Street,Pascoe Vale South,3044,3,1,house,"$1,400,000 ",10/30/2018
4 Oakdale Lane,Sunbury,3429,3,2,house,"$1,200,000 ",10/30/2018
2/33 Fisher Parade,Ascot Vale,3032,3,3,apartment,"$1,200,000 ",10/30/2018
76 Franklin Street,Eltham,3095,4,2,house,"$1,045,000 ",10/30/2018
16 Sussex Street,Ringwood,3134,3,1,house,"$1,000,000 ",10/30/2018
63 Stadium Circuit,Mulgrave,3170,3,2,house,"$930,000 ",10/30/2018
9 Quentin Court,Drouin,3818,4,2,acreage/semi-rural,"$920,000 ",10/30/2018
9 Bennett Street,Richmond,3121,2,1,house,"$920,000 ",10/30/2018
7 Dunstan Street,Frankston South,3199,5,2,house,"$903,000 ",10/30/2018
7 Paltarra Court,Croydon,3136,4,2,house,"$876,000 ",10/30/2018
