streetAddress,suburb,postcode,bedrooms,propertyType,price
47 Bendigo Street,Richmond,3121,2,townhouse,"$873,000 "
10 Devira Court,Rowville,3178,4,house,"$865,000 "
23-25 Olney Street,Winchelsea,3241,4,acreage/semi-rural,"$850,000 "
35 Tutegong Road,Winchelsea,3241,4,acreage/semi-rural,"$810,000 "
4/70 Essex Road,Surrey Hills,3127,2,villa,"$805,000 "
1/26 Kororoit Creek Road,Williamstown,3016,3,house,"$800,000 "
18 Beaurepaire Drive,Point Cook,3030,4,house,"$765,000 "
17 Banjo Paterson Drive,Pakenham,3810,5,house,"$750,000 "
14 Carrington Place,Berwick,3806,4,house,"$750,000 "
7 Iris Court,Mooroolbark,3138,4,house,"$720,000 "
3 The Nook,Ferntree Gully,3156,3,house,"$710,000 "
26 Erskine Ridge,Mooroolbark,3138,3,house,"$697,000 "
70 Blackmore Road,Woodend,3442,3,house,"$693,000 "
16A Starcross Avenue,Croydon,3136,3,house,"$680,000 "
140 Mollison Street,Malmsbury,3446,3,house,"$671,000 "
55 Symonds Street,Yarra Glen,3775,3,house,"$670,000 "
17 Hawkesbury Street,Berwick,3806,4,house,"$670,000 "
23 Grierson Drive,Kilsyth,3137,3,house,"$650,000 "
9 Meadow Court,Strathfieldsaye,3551,4,house,"$630,000 "
1 Colonial Court,Roxburgh Park,3064,4,house,"$625,000 "
89 Harmony Drive,Tarneit,3029,4,house,"$617,000 "
97 Fountain Drive,Narre Warren,3805,3,house,"$605,000 "
15 Matthew Flinders Avenue,Endeavour Hills,3802,3,house,"$600,000 "
11 Dustin Court,Sydenham,3037,3,house,"$600,000 "
323 Wild Cherry Road,Lockwood South,3551,4,acreage/semi-rural,"$585,000 "
47 Reigate Road,Highton,3216,3,house,"$560,000 "
12 Blackwood Place,Rosebud,3939,3,unit,"$540,000 "
16 Saltbreeze Boulevard,Armstrong Creek,3217,4,house,"$540,000 "
17 Yellow Avenue,Lara,3212,4,house,"$530,000 "
5 Beachside Crescent,Point Cook,3030,4,house,"$528,500 "
70 Kirby Street,Reservoir,3073,3,house,"$525,000 "
27 Bladen Street,Warragul,3820,4,house,"$524,000 "
2/56 Hewish Road,Croydon,3136,2,unit,"$522,000 "
18 Fleuve Rise,Clyde North,3978,3,house,"$522,000 "
1/11 Coogee Avenue,Frankston,3199,3,house,"$520,000 "
28 Dennison Avenue,Hoppers Crossing,3029,3,house,"$515,000 "
4 The Esperence,Lara,3212,3,house,"$510,000 "
15 Sandor Terrace,Charlemont,3217,4,house,"$496,500 "
2 Pearson Place,Melton South,3338,4,house,"$495,000 "
7 Swift Court,Carrum Downs,3201,3,house,"$482,000 "
2/69 Curlew Drive,Capel Sound,3940,3,unit,"$470,000 "
10 Winchester Court,Corio,3214,3,house,"$430,000 "
15 Fadden Mews,Officer,3809,3,house,"$420,000 "
5 Hamersley Road,Craigieburn,3064,0,residential land,"$395,000 "
5 A Robin Avenue,Norlane,3214,3,unit,"$385,000 "
15 Beauview Court,Kurunjang,3337,3,house,"$380,000 "
1/18-20 Ben Drive,Pakenham,3810,2,unit,"$378,000 "
2/71 Somerville Road,Hampton Park,3976,2,unit,"$362,000 "
6 Orbit Drive,Whittington,3219,3,house,"$350,000 "
14 Halliwell Court,Corio,3214,3,house,"$327,000 "
67 Settlement Road,Belmont,3216,3,house,"$323,500 "
5/403 Humffray Street North,Brown Hill,3350,3,house,"$322,000 "
510 Eyre Street,Ballarat Central,3350,2,house,"$320,000 "
G123/80G Epping Road,Epping,3076,2,apartment,"$320,000 "
20A Hackett Court,Delahey,3037,0,residential land,"$305,000 "
22 Garden Crescent,Echuca,3564,4,house,"$290,000 "
40 Hawdon  Street,Broadford,3658,3,house,"$290,000 "
1/238 Humffray Street North,Brown Hill,3350,3,house,"$270,000 "
134 Barkly Street,Portland,3305,3,house,"$260,000 "
5/269 Eaglehawk Road,Long Gully,3550,2,unit,"$215,000 "
11 Wynnstay Road,Prahran,3181,5,house,Contact agent
69 Iona St,Black Rock,3193,3,house,"$1,780,000 "
53 Maude Street,Mount Martha,3934,4,house,Contact agent
1 Mavista Avenue,Glen Waverley,3150,3,house,"$1,268,000 "
401/2 Newquay Promenade,Docklands,3008,3,apartment,"$1,225,000 "
32 Windsor Avenue,Strathmore,3041,2,house,"$1,125,000 "
56 Chivalry Avenue,Glen Waverley,3150,4,house,"$1,101,000 "
175 Hazelwood Road,East Warburton,3799,4,acreage/semi-rural,"$1,100,000 "
75 Shaws Road,Little River,3211,4,house,"$1,100,000 "
115 Capital Avenue,Glen Waverley,3150,4,house,"$1,065,000 "
68 Market St,Newport,3015,3,house,"$923,000 "
877 High Street Road,Glen Waverley,3150,3,house,"$876,000 "
11 Mason Street,Mount Eliza,3930,3,house,"$865,000 "
4 O'Neill Way,Warranwood,3134,4,house,"$825,000 "
44 Hidden Grove Boulevard,Keysborough,3173,4,house,"$802,000 "
15 Ballymore Court,Frankston,3199,4,house,"$780,000 "
42 Kamanari Court,Drouin,3818,4,house,"$775,000 "
3 Doidge Street,Bundoora,3083,3,townhouse,"$745,000 "
34 John Edgcumbe,Endeavour Hills,3802,4,house,"$725,000 "
93 Wattletree Road,Bunyip,3815,3,lifestyle,"$718,000 "
17 Springwater Drive,Lara,3212,4,house,"$650,000 "
49 Batman Street,Burnside Heights,3023,4,house,"$627,500 "
23 Parkwood Avenue,Narre Warren South,3805,4,house,"$621,500 "
13 PARKERS ROAD,Portland,3305,4,house,"$615,000 "
86 View Street,Glenroy,3046,2,house,"$612,000 "
3/22 Pine Crescent,Boronia,3155,2,unit,"$601,000 "
8 Dawkins Avenue,Fraser Rise,3336,4,house,"$600,000 "
51 Elizabeth Street,Cranbourne North,3977,4,house,"$580,000 "
22 Moorhen Crescent,Carrum Downs,3201,3,house,"$570,000 "
18 Morinda Way,Doreen,3754,4,house,"$561,000 "
3 Oakes Place,Carrum Downs,3201,4,house,"$560,000 "
17 Melita Avenue,Werribee,3030,3,house,"$558,000 "
41 Spring Street,Geelong West,3218,2,townhouse,"$555,000 "
5 Shorthorn Walk,Narre Warren South,3805,3,house,"$545,000 "
7 Evans Street,Rye,3941,3,house,"$530,000 "
3-4 Emilija Court,Marshall,3216,3,house,"$520,000 "
4 Veedale Court,Lara,3212,3,house,"$520,000 "
12 Berrigan Court,Werribee,3030,3,house,"$501,500 "
8 Tobruk Street,Warragul,3820,3,house,"$485,000 "
2/30 Ford Avenue,Sunshine North,3020,3,house,"$485,000 "
117 Fifth Avenue,Rosebud,3939,3,house,"$470,000 "
12 Elaine Avenue,Alfredton,3350,4,house,"$446,200 "
6 Waters Way,St Leonards,3223,3,house,"$445,000 "
10 Kosta Boda Boulevard,Pakenham,3810,3,house,"$415,000 "
17 Lawrie Drive,Alfredton,3350,3,house,"$405,000 "
404/8 Garfield Street,Richmond,3121,1,apartment,"$388,000 "
1118 Norman Street,Wendouree,3355,3,house,"$385,000 "
3/3 Dhemre Place,Dallas,3047,2,townhouse,"$385,000 "
3/501 Bradshaw Street,Golden Point,3350,3,house,"$380,000 "
13 Hendy Street,Corio,3214,4,house,"$365,000 "
1/12 Renlik Court,Pakenham,3810,3,unit,"$360,000 "
2/70 Janefield Drive,Bundoora,3083,1,apartment,"$351,000 "
10-12 Morley Crescent,Highton,3216,0,residential land,"$345,000 "
1/162 Canadian Bay Road,Mount Eliza,3930,2,apartment,"$340,000 "
6 Peacock Avenue,Wodonga,3690,3,house,"$335,000 "
3B Kinrap Street,Kangaroo Flat,3555,3,house,"$322,000 "
26 Walls Street,Eaglehawk,3556,3,house,"$315,000 "
111 Yarrowee Street,Sebastopol,3356,3,house,"$260,000 "
16 North Street,Echuca,3564,3,house,"$220,000 "
5601/570 Lygon Street,Carlton,3053,1,apartment,"$179,000 "
25 Illawong Drive,Donvale,3111,4,house,"$2,998,000 "
20 Castaway Court,Patterson Lakes,3197,5,house,"$1,850,000 "
22 Derby Street,Collingwood,3066,2,house,Contact agent
194A Bluff Road,Sandringham,3191,4,house,"$1,350,000 "
51 Webb Street,Warrandyte,3113,4,house,"$1,235,000 "
219 Marine Drive,Mount Martha,3934,1,house,"$1,130,000 "
44 Pridham Street,Maribyrnong,3032,3,house,"$1,115,000 "
13 Marlborough Street,St Kilda East,3183,2,house,"$1,055,000 "
3 Olivemay Court,Bonshaw,3352,4,house,"$1,010,000 "
2/119 Hitchcock Avenue,Barwon Heads,3227,3,townhouse,"$1,000,000 "
2/123 Roberts Street,Essendon,3040,3,unit,"$990,000 "
5 Wyatt Street,Seaford,3198,3,house,"$939,500 "
5 Broadleaf Court,Keysborough,3173,3,house,"$930,000 "
100 John Street,Williamstown,3016,2,house,"$880,000 "
37 Middleton Street,Watsonia North,3087,3,house,"$860,000 "
1 Ironbark Road,Diamond Creek,3089,4,house,"$853,000 "
5 Woodcutters Place,Narre Warren South,3805,4,house,"$852,500 "
6 Campbell Street,Heathmont,3135,3,house,"$851,500 "
241 Cookes Road,Doreen,3754,4,house,"$850,000 "
96 Gertrude Street,Geelong West,3218,3,house,"$830,000 "
25 Rodina Terrace,Dandenong,3175,5,house,"$823,000 "
55 Windsor Street,Seddon,3011,2,house,"$815,000 "
26 Monument Boulevard,Cardigan,3352,4,house,"$795,000 "
5 Cloverdale Lane,Chirnside Park,3116,4,house,"$775,000 "
31 Buckingham Street,Footscray,3011,2,house,"$775,000 "
22 Conservation Drive,Tarneit,3029,4,house,"$770,000 "
18 Princess Street,Bayswater,3153,3,house,"$768,000 "
2 Bogie Court,Anglesea,3230,3,house,"$765,000 "
3408/241 City Road,Southbank,3006,3,apartment,"$756,000 "
73 Diosma Avenue,Sunshine West,3020,3,house,"$740,000 "
4 Evans Street,Scoresby,3179,3,house,"$735,000 "
4/8 Warwick Road,Greensborough,3088,3,unit,"$729,500 "
11 Clissold Street,Lorne,3232,3,house,"$720,000 "
2/15 Bamba Court,Scoresby,3179,3,house,"$715,000 "
6 Davison Place,Geelong,3220,2,townhouse,"$710,000 "
8 Ashcombe Lane,Ocean Grove,3226,4,house,"$710,000 "
4 Ester Close,Endeavour Hills,3802,5,house,"$710,000 "
8 Newton Street,Ferntree Gully,3156,3,house,"$688,500 "
59 Gwinganna Drive,Clifton Springs,3222,4,house,"$680,000 "
59 Grantham Drive,Highton,3216,4,house,"$670,000 "
9/47 Kathryn Road,Knoxfield,3180,3,unit,"$665,000 "
7A Allen Street,Ringwood,3134,2,unit,"$660,200 "
14 Mabel Street,Doreen,3754,3,house,"$650,000 "
50 Dunfermline Avenue,Greenvale,3059,4,house,"$647,500 "
707/331-333  Ascot Vale,Moonee Ponds,3039,2,apartment,"$645,000 "
14 Banjolina Circuit,Craigieburn,3064,4,house,"$640,000 "
10 Primavera Drive,Mickleham,3064,4,house,"$617,000 "
15 Darraweit Valley Road,Darraweit Guim,3756,5,house,"$610,000 "
45 Catherine Street,Geelong West,3218,3,house,"$602,500 "
9 Woolondoon Drive,Highton,3216,4,house,"$601,000 "
5 Eastmead Road,Croydon,3136,2,townhouse,"$600,000 "
78 Gavan Street,Kilmore East,3764,4,house,"$597,000 "
68 Justin Circuit,Hampton Park,3976,4,house,"$590,000 "
22 Macadamia Street,Doreen,3754,3,house,"$580,000 "
14 Young Street,Bacchus Marsh,3340,3,house,"$580,000 "
4 Jemma Avenue,Point Cook,3030,4,house,"$566,500 "
502/1 Encounter Way,Docklands,3008,2,apartment,"$562,000 "
3 Ballamore Vista,Harkness,3337,4,house,"$560,000 "
33 Wendy Way,Tarneit,3029,4,house,"$550,000 "
46 Queensbury Way,Werribee,3030,4,house,"$550,000 "
11 Trimble Drive,Langwarrin,3910,3,house,"$533,000 "
